time,height,momentum_x,bathymetry,totalHeight
0,5,0,0,5
1.00964,5,0,0,5
2.01927,5,1.81615e-35,0,5
3.02891,5,9.30959e-14,0,5
4.03855,5.00008,0.000578829,0,5.00008
5.00781,5.35162,2.632,0,5.35162
6.01745,7.23785,21.0535,0,7.23785
7.02709,7.25238,21.2184,0,7.25238
8.03674,7.25361,21.2323,0,7.25361
9.00598,7.25433,21.2406,0,7.25433
10.0156,7.25485,21.2465,0,7.25485
11.0252,7.25524,21.2508,0,7.25524
12.0349,7.25553,21.2542,0,7.25553
13.0041,7.25569,21.256,0,7.25569
14.0138,7.25552,21.2541,0,7.25552
15.0234,7.25498,21.2479,0,7.25498
16.033,7.25437,21.241,0,7.25437
17.0023,7.25391,21.2358,0,7.25391
18.0119,7.25363,21.2326,0,7.25363
19.0216,7.25351,21.2312,0,7.25351
