#longitude,latitude,distance,bathymetry
141.230921616,37.3207043319,18250.0209414,-105.352154429
141.233743313,37.3207585014,18500.0211895,-107.384215334
141.236565013,37.320812604,18750.0214366,-109.395808197
141.239386718,37.3208666396,19000.0216826,-110.731445798
141.242208426,37.3209206081,19250.0219276,-108.76382607
141.245030139,37.3209745097,19500.0221716,-107.85452261
141.247851855,37.3210283443,19750.0224146,-109.177876833
141.250673576,37.3210821118,20000.0226566,-110.529209035
141.2534953,37.3211358124,20250.0228976,-111.787017562
141.256317029,37.3211894459,20500.0231375,-113.159590465
141.259138761,37.3212430125,20750.0233765,-116.025710865
141.261960498,37.321296512,21000.0236144,-118.540963079
141.264782238,37.3213499446,21250.0238514,-120.423267455
141.267603983,37.3214033101,21500.0240873,-121.899375134
141.270425731,37.3214566087,21750.0243223,-122.689503287
141.273247484,37.3215098402,22000.0245562,-122.998951907
141.27606924,37.3215630047,22250.0247891,-123.188780482
141.278891,37.3216161023,22500.0250211,-123.590504285
141.281712764,37.3216691328,22750.025252,-124.036537988
141.284534533,37.3217220963,23000.025482,-124.044884242
141.287356305,37.3217749928,23250.0257109,-124.327421827
141.290178081,37.3218278223,23500.0259389,-125.079649912
141.292999861,37.3218805848,23750.0261658,-126.494984017
141.295821645,37.3219332804,24000.0263918,-127.971994403
141.298643433,37.3219859088,24250.0266168,-128.985007533
141.301465225,37.3220384703,24500.0268408,-128.970286479
141.30428702,37.3220909648,24750.0270638,-128.387814639
141.30710882,37.3221433923,25000.0272859,-127.832208918
141.309930623,37.3221957528,25250.0275069,-127.843441098
141.312752431,37.3222480462,25500.027727,-129.628102723
141.315574242,37.3223002727,25750.027946,-131.333284132
141.318396057,37.3223524321,26000.0281641,-131.887377985
141.321217876,37.3224045246,26250.0283812,-132.563931517
141.324039699,37.32245655,26500.0285974,-133.273018377
141.326861526,37.3225085084,26750.0288125,-133.952373164
141.329683357,37.3225603999,27000.0290267,-133.956908718
141.332505191,37.3226122243,27250.0292399,-134.217415875
141.33532703,37.3226639817,27500.0294522,-134.971128222
141.338148872,37.3227156721,27750.0296634,-135.57759074
141.340970718,37.3227672955,28000.0298737,-136.662253653
141.343792568,37.3228188518,28250.0300831,-138.007561267
141.346614422,37.3228703412,28500.0302914,-138.066789157
141.349436279,37.3229217636,28750.0304988,-137.957744968
141.352258141,37.3229731189,29000.0307052,-138.022433716
141.355080006,37.3230244072,29250.0309107,-138.689251322
141.357901875,37.3230756286,29500.0311152,-139.447709772
141.360723748,37.3231267829,29750.0313187,-140.053301119
141.363545624,37.3231778702,30000.0315213,-140.01985763
141.366367505,37.3232288905,30250.0317229,-140.520152671
141.369189389,37.3232798438,30500.0319236,-141.185663811
141.372011277,37.32333073,30750.0321233,-141.176069621
141.374833169,37.3233815493,31000.032322,-141.170914519
141.377655065,37.3234323016,31250.0325198,-141.182694384
141.380476964,37.3234829868,31500.0327166,-141.188100761
141.383298867,37.323533605,31750.0329125,-141.205905155
141.386120774,37.3235841562,32000.0331075,-141.180661514
141.388942685,37.3236346404,32250.0333015,-141.028439505
141.3917646,37.3236850576,32500.0334945,-141.016327002
141.394586518,37.3237354078,32750.0336866,-141.28271597
141.39740844,37.323785691,33000.0338777,-141.883730498
141.400230365,37.3238359071,33250.0340679,-142.647593632
141.403052295,37.3238860563,33500.0342572,-143.087285924
141.405874228,37.3239361384,33750.0344455,-142.937261301
141.408696165,37.3239861535,34000.0346329,-143.402252846
141.411518106,37.3240361016,34250.0348193,-144.437115206
141.41434005,37.3240859827,34500.0350048,-145.998831539
141.417161998,37.3241357967,34750.0351894,-147.656916503
141.41998395,37.3241855438,35000.035373,-147.939301802
141.422805905,37.3242352238,35250.0355557,-147.04996371
141.425627864,37.3242848369,35500.0357375,-150.275782939
141.428449827,37.3243343829,35750.0359183,-152.170453019
141.431271794,37.3243838619,36000.0360982,-151.766200594
141.434093764,37.3244332738,36250.0362772,-151.699513718
141.436915738,37.3244826188,36500.0364552,-151.202059258
141.439737716,37.3245318967,36750.0366323,-150.557100795
141.442559697,37.3245811077,37000.0368085,-150.713967404
141.445381682,37.3246302516,37250.0369838,-151.193276248
141.44820367,37.3246793285,37500.0371581,-151.786373189
141.451025662,37.3247283383,37750.0373315,-152.153424889
141.453847658,37.3247772812,38000.037504,-152.895866151
141.456669658,37.324826157,38250.0376756,-154.172694692
141.459491661,37.3248749659,38500.0378463,-156.413817231
141.462313668,37.3249237077,38750.038016,-158.041535598
141.465135678,37.3249723825,39000.0381848,-159.220437664
141.467957692,37.3250209902,39250.0383528,-160.194099716
141.47077971,37.325069531,39500.0385198,-160.888766224
141.473601731,37.3251180047,39750.0386859,-161.653249387
141.476423756,37.3251664114,40000.038851,-162.882106356
141.479245784,37.3252147511,40250.0390153,-163.066572441
141.482067817,37.3252630238,40500.0391787,-163.099497495
141.484889852,37.3253112295,40750.0393411,-163.750790339
141.487711891,37.3253593681,41000.0395027,-165.138103337
141.490533934,37.3254074397,41250.0396633,-166.995674465
141.493355981,37.3254554443,41500.0398231,-169.146617489
141.496178031,37.3255033819,41750.0399819,-171.115936618
141.499000084,37.3255512524,42000.0401399,-173.189722582
141.501822141,37.325599056,42250.0402969,-175.455682307
141.504644202,37.3256467925,42500.0404531,-177.067811094
141.507466266,37.325694462,42750.0406083,-178.696032288
141.510288334,37.3257420645,43000.0407627,-180.566560923
141.513110405,37.3257895999,43250.0409161,-182.014996456
141.51593248,37.3258370683,43500.0410687,-183.681354775
141.518754558,37.3258844698,43750.0412204,-185.611912723
141.52157664,37.3259318041,44000.0413712,-186.349525811
141.524398726,37.3259790715,44250.0415211,-186.860100705
141.527220815,37.3260262718,44500.0416701,-187.510271233
141.530042907,37.3260734052,44750.0418182,-188.738680129
141.532865003,37.3261204715,45000.0419655,-190.458790038
141.535687103,37.3261674707,45250.0421118,-192.72506074
141.538509206,37.326214403,45500.0422573,-195.859710652
141.541331312,37.3262612682,45750.0424019,-197.92293701
141.544153422,37.3263080664,46000.0425456,-198.793931585
141.546975535,37.3263547976,46250.0426884,-198.088134324
141.549797652,37.3264014618,46500.0428304,-202.036240569
141.552619773,37.3264480589,46750.0429715,-207.767894237
141.555441897,37.326494589,47000.0431117,-210.714990749
141.558264024,37.3265410521,47250.043251,-212.040765903
141.561086155,37.3265874481,47500.0433895,-212.057809779
141.563908289,37.3266337772,47750.0435271,-211.070783601
141.566730427,37.3266800392,48000.0436638,-210.2545238
141.569552568,37.3267262342,48250.0437996,-209.462663869
141.572374712,37.3267723621,48500.0439346,-208.62916211
141.57519686,37.3268184231,48750.0440687,-209.396210807
141.578019012,37.326864417,49000.044202,-211.401900563
141.580841167,37.3269103438,49250.0443344,-214.355731233
141.583663325,37.3269562037,49500.0444659,-217.726879272
141.586485486,37.3270019965,49750.0445966,-221.299505087
141.589307652,37.3270477223,50000.0447264,-224.739013974
141.59212982,37.3270933811,50250.0448553,-226.148542165
141.594951992,37.3271389728,50500.0449834,-228.405592454
141.597774167,37.3271844976,50750.0451106,-231.96874309
141.600596346,37.3272299553,51000.045237,-232.123646224
141.603418528,37.3272753459,51250.0453625,-232.905660578
141.606240713,37.3273206696,51500.0454872,-235.302248388
141.609062902,37.3273659262,51750.045611,-238.594265972
141.611885094,37.3274111157,52000.045734,-242.549616838
141.61470729,37.3274562383,52250.0458561,-246.528612327
141.617529489,37.3275012938,52500.0459774,-248.678740838
141.620351691,37.3275462823,52750.0460978,-250.649458299
141.623173897,37.3275912038,53000.0462174,-252.66206763
141.625996105,37.3276360582,53250.0463361,-254.790045214
141.628818318,37.3276808456,53500.046454,-255.969641923
141.631640533,37.327725566,53750.0465711,-256.874284103
141.634462752,37.3277702194,54000.0466873,-258.995627715
141.637284975,37.3278148057,54250.0468027,-259.81667471
141.6401072,37.327859325,54500.0469172,-263.670642406
141.642929429,37.3279037772,54750.0470309,-277.865623526
141.645751661,37.3279481625,55000.0471438,-282.323020317
141.648573897,37.3279924807,55250.0472558,-282.235692077
141.651396136,37.3280367318,55500.047367,-283.812822524
141.654218378,37.328080916,55750.0474774,-286.243245771
141.657040623,37.3281250331,56000.0475869,-289.004737709
141.659862872,37.3281690831,56250.0476957,-291.669051571
141.662685124,37.3282130662,56500.0478035,-294.852701345
141.665507379,37.3282569822,56750.0479106,-297.653535322
141.668329637,37.3283008312,57000.0480168,-299.515905044
141.671151899,37.3283446131,57250.0481223,-301.110459158
141.673974164,37.328388328,57500.0482269,-303.707819461
141.676796432,37.3284319759,57750.0483306,-307.711299954
141.679618704,37.3284755568,58000.0484336,-309.19201907
141.682440979,37.3285190706,58250.0485357,-311.831870264
141.685263257,37.3285625174,58500.048637,-316.334003853
141.688085538,37.3286058971,58750.0487375,-318.017236436
141.690907822,37.3286492098,59000.0488372,-320.618420219
141.69373011,37.3286924555,59250.0489361,-324.798327958
141.696552401,37.3287356342,59500.0490341,-329.185527294
141.699374695,37.3287787458,59750.0491314,-332.171739839
141.702196992,37.3288217904,60000.0492278,-333.979237503
141.705019293,37.3288647679,60250.0493235,-336.79496796
141.707841597,37.3289076785,60500.0494183,-339.722492818
141.710663904,37.3289505219,60750.0495123,-342.879032849
141.713486214,37.3289932984,61000.0496055,-346.896998388
141.716308527,37.3290360078,61250.0496979,-350.555665866
141.719130843,37.3290786502,61500.0497895,-354.002614645
141.721953163,37.3291212255,61750.0498804,-357.925027005
141.724775486,37.3291637338,62000.0499704,-360.942295743
141.727597812,37.3292061751,62250.0500596,-363.643697401
141.730420141,37.3292485493,62500.050148,-366.921086179
141.733242473,37.3292908565,62750.0502356,-370.724508796
141.736064809,37.3293330967,63000.0503224,-374.378707152
141.738887147,37.3293752698,63250.0504085,-377.046286205
141.741709489,37.3294173759,63500.0504937,-380.849873543
141.744531834,37.3294594149,63750.0505781,-384.524132092
141.747354182,37.329501387,64000.0506618,-387.053917532
141.750176533,37.3295432919,64250.0507447,-389.711106038
141.752998887,37.3295851299,64500.0508268,-392.46796347
141.755821245,37.3296269008,64750.0509081,-395.317807857
141.758643605,37.3296686046,65000.0509886,-399.175984875
141.761465969,37.3297102415,65250.0510683,-403.424138752
141.764288335,37.3297518113,65500.0511472,-407.948963942
141.767110705,37.329793314,65750.0512254,-415.0143479
141.769933078,37.3298347497,66000.0513028,-421.481949023
141.772755454,37.3298761184,66250.0513794,-426.317871593
141.775577833,37.3299174201,66500.0514552,-429.462727164
141.778400215,37.3299586546,66750.0515303,-432.950687383
141.7812226,37.3299998222,67000.0516046,-437.261147385
141.784044988,37.3300409227,67250.0516781,-441.300536257
141.78686738,37.3300819562,67500.0517508,-443.520581954
141.789689774,37.3301229227,67750.0518228,-445.085665744
141.792512171,37.3301638221,68000.051894,-451.62465527
141.795334572,37.3302046544,68250.0519644,-458.334840488
141.798156975,37.3302454197,68500.0520341,-464.208836792
141.800979382,37.330286118,68750.052103,-468.553936048
141.803801791,37.3303267493,69000.0521711,-473.768954858
141.806624204,37.3303673135,69250.0522385,-478.455610432
141.809446619,37.3304078106,69500.0523051,-479.196604404
141.812269038,37.3304482408,69750.052371,-479.769655515
141.815091459,37.3304886038,70000.0524361,-481.185085869
141.817913884,37.3305288999,70250.0525004,-484.752166063
141.820736312,37.3305691289,70500.052564,-489.472293378
141.823558742,37.3306092908,70750.0526268,-493.897214231
141.826381176,37.3306493857,71000.0526889,-496.395884245
