time,height,momentum_x,momentum_y,bathymetry,totalHeight
0,5,0,0,0,5
1.00863,5,8.02834e-28,0,0,5
2.00363,5,9.40033e-11,0,0,5
3.01226,5.00044,0.00307031,0,0,5.00044
4.00726,5.13808,0.992238,0,0,5.13808
5.00224,5.71924,5.62236,0,0,5.71924
6.01086,5.46595,3.54685,0,0,5.46595
7.00584,5.1422,1.08387,0,0,5.1422
8.00082,4.91114,-0.543371,0,0,4.91114
9.00944,4.77393,-1.45777,0,0,4.77393
10.0044,4.75979,-1.54975,0,0,4.75979
11.013,4.84441,-0.990343,0,0,4.84441
12.008,4.91867,-0.486862,0,0,4.91867
13.003,4.95725,-0.220885,0,0,4.95725
14.0116,4.97084,-0.126442,0,0,4.97084
15.0066,4.96137,-0.19228,0,0,4.96137
16.0016,4.94617,-0.297448,0,0,4.94617
17.0102,4.93996,-0.340258,0,0,4.93996
18.0052,4.94414,-0.311411,0,0,4.94414
19.0002,4.95343,-0.247214,0,0,4.95343
