time,height,momentum_x,momentum_y,bathymetry,totalHeight
0,10,0,0,0,10
1.00863,6.18401,-3.91727,-3.91727,0,6.18401
2.00363,2.44386,-0.528149,-0.528149,0,2.44386
3.01226,3.76353,0.963695,0.963696,0,3.76353
4.00726,4.57733,0.163596,0.163595,0,4.57733
5.00224,4.74578,0.061517,0.0615164,0,4.74578
6.01086,4.83012,0.0369097,0.0369117,0,4.83012
7.00584,4.87902,0.0224082,0.0224079,0,4.87902
8.00082,4.90811,0.0144681,0.0144683,0,4.90811
9.00944,4.92717,0.010062,0.0101714,0,4.92717
10.0044,4.93991,0.00446087,0.00755838,0,4.93991
11.013,4.94681,-0.0216121,0.00559906,0,4.94681
12.008,4.94669,-0.0915563,0.00414283,0,4.94669
13.003,4.94287,-0.176793,0.00355472,0,4.94287
14.0116,4.94078,-0.224408,0.00367021,0,4.94078
15.0066,4.94317,-0.221826,0.0038466,0,4.94317
16.0016,4.94909,-0.177908,0.00381418,0,4.94909
17.0102,4.95639,-0.0861941,0.00362762,0,4.95639
18.0052,4.96317,0.0219337,0.00336808,0,4.96317
19.0002,4.96862,0.0713626,0.00311778,0,4.96862
